    Name     |      Class      | Score 
VINCENZO     |  K67A2 ToanTin  |  0.8  
TAKISHA      |  K66A3 KHMT&TT  |  5.1  
ARACELI      |  K63A1 ToanHoc  |  9.8  
VITO         |   K63A5 KHDL    |  1.3  
LETICIA      |   K67A5 KHDL    |  0.5  
TRESSA       |  K66A1 ToanHoc  |  1.0  
KELLE        |  K66A1 ToanHoc  |  1.3  
CRIS         |   K63A5 KHDL    |  5.5  
LEOLA        |  K67A2 ToanTin  |  4.9  
REYNA        |  K63A2 ToanTin  |  0.8  
ALYSIA       |  K67A2 ToanTin  |  4.8  
PIEDAD       |  K65A4 KHMT&TT  |  2.3  
HOPE         |   K64A5 KHDL    |  3.0  
PENNY        |  K66A2 ToanTin  |  0.5  
JUNKO        |   K65A5 KHDL    |  6.8  
VIRGIL       |  K65A1 ToanHoc  |  0.1  
ASHLYN       |  K63A1 ToanHoc  |  5.8  
ILONA        |  K64A4 KHMT&TT  |  3.1  
ILANA        |   K65A5 KHDL    |  5.7  
DEE          |  K66A1 ToanHoc  |  1.2  
ADELE        |  K64A1 ToanHoc  |  6.6  
ALESSANDRA   |  K66A3 KHMT&TT  |  7.2  
AIDE         |  K66A3 KHMT&TT  |  9.3  
LUISA        |  K65A2 ToanTin  |  1.7  
RENEA        |  K64A1 ToanHoc  |  1.6  
BERNADINE    |  K63A2 ToanTin  |  2.0  
WILLIAM      |  K66A1 ToanHoc  |  4.5  
SUSY         |  K63A1 ToanHoc  |  5.2  
CHARA        |   K65A5 KHDL    |  5.8  
EMMANUEL     |  K63A1 ToanHoc  |  2.0  
BARBAR       |  K66A2 ToanTin  |  8.2  
TARA         |   K66A5 KHDL    |  5.2  
KATHRYNE     |  K64A4 KHMT&TT  |  1.3  
SOPHIE       |  K67A3 KHMT&TT  |  4.5  
CARLINE      |  K63A2 ToanTin  |  4.4  
ODIS         |  K64A1 ToanHoc  |  3.7  
SHANTEL      |  K67A2 ToanTin  |  6.1  
ALYSIA       |  K66A4 KHMT&TT  |  5.6  
JACELYN      |   K66A5 KHDL    |  1.7  
GOLDA        |  K64A4 KHMT&TT  |  1.0  
PHUONG       |  K67A1 ToanHoc  |  1.8  
ELLYN        |  K63A4 KHMT&TT  |  4.7  
REY          |  K66A3 KHMT&TT  |  3.0  
CRISTEN      |  K63A2 ToanTin  |  3.2  
SHANELL      |  K63A1 ToanHoc  |  4.6  
AISHA        |  K65A4 KHMT&TT  |  4.5  
DARCEL       |  K67A4 KHMT&TT  |  5.2  
CRISTOBAL    |  K67A2 ToanTin  |  9.8  
LORINDA      |  K67A4 KHMT&TT  |  1.9  
ADAM         |  K65A4 KHMT&TT  |  2.0  
NIA          |  K66A2 ToanTin  |  0.9  
HYMAN        |  K67A4 KHMT&TT  |  7.8  
RUBY         |  K65A3 KHMT&TT  |  5.8  
KURT         |  K66A4 KHMT&TT  |  1.7  
JENNETTE     |   K64A5 KHDL    |  8.1  
TEOFILA      |  K65A2 ToanTin  |  3.3  
EDNA         |   K66A5 KHDL    |  10.0 
LATRINA      |   K67A5 KHDL    |  4.2  
BOYD         |   K65A5 KHDL    |  1.4  
OLA          |  K63A4 KHMT&TT  |  9.9  
CLARIS       |  K65A4 KHMT&TT  |  5.4  
ELIDA        |   K63A5 KHDL    |  9.0  
NETTIE       |   K65A5 KHDL    |  8.1  
BELL         |  K66A3 KHMT&TT  |  7.9  
LOREAN       |  K65A1 ToanHoc  |  1.0  
FLORIA       |  K63A4 KHMT&TT  |  3.7  
LINNEA       |  K65A4 KHMT&TT  |  0.8  
CHRISTENE    |  K66A2 ToanTin  |  3.5  
ELLA         |   K67A5 KHDL    |  6.5  
LIZZIE       |  K67A4 KHMT&TT  |  9.0  
CLELIA       |  K65A4 KHMT&TT  |  3.4  
KYMBERLY     |  K66A4 KHMT&TT  |  3.5  
SEYMOUR      |   K64A5 KHDL    |  9.9  
THAD         |   K66A5 KHDL    |  8.0  
FABIOLA      |  K67A1 ToanHoc  |  4.1  
LAURETTA     |  K66A4 KHMT&TT  |  7.5  
TANYA        |  K63A1 ToanHoc  |  0.0  
JONNIE       |  K66A4 KHMT&TT  |  7.2  
MONET        |   K65A5 KHDL    |  0.4  
CYNTHIA      |  K63A3 KHMT&TT  |  3.9  
FELIPA       |  K63A1 ToanHoc  |  5.0  
DEONNA       |  K64A2 ToanTin  |  7.2  
TESSIE       |  K67A3 KHMT&TT  |  1.8  
GARRY        |  K65A3 KHMT&TT  |  8.2  
NANCEY       |  K63A4 KHMT&TT  |  3.6  
LAVON        |  K65A3 KHMT&TT  |  7.4  
FANNY        |  K66A4 KHMT&TT  |  1.9  
LEWIS        |  K66A2 ToanTin  |  7.8  
SILVANA      |   K63A5 KHDL    |  1.1  
LINH         |  K65A4 KHMT&TT  |  7.6  
TANJA        |   K65A5 KHDL    |  4.8  
DEBBI        |  K66A3 KHMT&TT  |  8.1  
CHARLOTTE    |  K67A3 KHMT&TT  |  5.1  
FLORA        |  K65A1 ToanHoc  |  6.5  
MATHEW       |  K65A4 KHMT&TT  |  7.0  
LILIA        |  K66A1 ToanHoc  |  8.5  
CARRY        |  K64A2 ToanTin  |  9.2  
DEIDRA       |  K65A4 KHMT&TT  |  4.0  
ANGLEA       |  K66A4 KHMT&TT  |  9.9  
MEAGHAN      |  K67A4 KHMT&TT  |  4.6  
MISTY        |  K63A2 ToanTin  |  9.3  
DEDE         |  K63A4 KHMT&TT  |  4.9  
LUCILLE      |  K67A2 ToanTin  |  4.2  
FRANCINE     |  K66A1 ToanHoc  |  3.0  
CASSEY       |  K65A3 KHMT&TT  |  4.2  
WILMA        |   K63A5 KHDL    |  8.5  
BETSY        |  K67A4 KHMT&TT  |  2.1  
MILLICENT    |  K64A4 KHMT&TT  |  4.8  
JANETH       |  K67A3 KHMT&TT  |  2.2  
SHERA        |   K63A5 KHDL    |  0.6  
KEVIN        |  K67A4 KHMT&TT  |  8.1  
MICHELE      |  K65A2 ToanTin  |  8.4  
JEANENE      |  K66A3 KHMT&TT  |  7.2  
CELIA        |  K64A1 ToanHoc  |  3.2  
AVERY        |  K66A1 ToanHoc  |  4.2  
AGUSTIN      |   K64A5 KHDL    |  3.1  
BRITTA       |   K65A5 KHDL    |  4.0  
JANUARY      |  K63A2 ToanTin  |  9.5  
CHRYSTAL     |  K64A3 KHMT&TT  |  1.6  
LAURA        |  K67A2 ToanTin  |  5.3  
ARNULFO      |  K67A2 ToanTin  |  4.1  
KYOKO        |  K64A1 ToanHoc  |  8.7  
RAPHAEL      |  K64A2 ToanTin  |  1.6  
LATIA        |  K65A3 KHMT&TT  |  3.1  
CLARINE      |  K65A3 KHMT&TT  |  4.6  
WANETTA      |  K65A2 ToanTin  |  7.0  
HARMONY      |  K66A2 ToanTin  |  5.2  
JONNA        |  K63A4 KHMT&TT  |  2.3  
DANN         |   K66A5 KHDL    |  4.3  
HIEDI        |  K63A1 ToanHoc  |  0.0  
LONI         |   K66A5 KHDL    |  2.9  
SUZAN        |  K66A4 KHMT&TT  |  5.2  
LIN          |  K64A2 ToanTin  |  7.3  
FRANKIE      |  K67A4 KHMT&TT  |  2.7  
LYNNE        |  K64A4 KHMT&TT  |  5.3  
HOWARD       |  K67A1 ToanHoc  |  4.6  
BRANDEE      |  K66A2 ToanTin  |  2.3  
TAWANNA      |  K67A1 ToanHoc  |  3.3  
ANNIE        |  K65A2 ToanTin  |  7.7  
BRITTNY      |  K65A3 KHMT&TT  |  7.9  
MIYOKO       |  K65A1 ToanHoc  |  1.9  
PHYLLIS      |   K67A5 KHDL    |  8.2  
KRYSTA       |  K65A2 ToanTin  |  9.2  
BEULA        |  K65A1 ToanHoc  |  2.7  
MACHELLE     |   K67A5 KHDL    |  6.6  
ROSEANNA     |   K63A5 KHDL    |  1.9  
MAJORIE      |  K67A3 KHMT&TT  |  3.8  
RAMONITA     |  K65A2 ToanTin  |  1.5  
ELNA         |   K64A5 KHDL    |  6.4  
HAYDEN       |  K67A3 KHMT&TT  |  4.7  
DOUG         |  K67A4 KHMT&TT  |  6.6  
MILO         |  K65A3 KHMT&TT  |  3.9  
DOTTY        |  K66A4 KHMT&TT  |  3.1  
SHEILA       |  K66A3 KHMT&TT  |  6.5  
CRISTY       |  K64A2 ToanTin  |  7.7  
TERRIE       |   K65A5 KHDL    |  4.5  
DEMETRIUS    |  K65A3 KHMT&TT  |  1.2  
ALYCE        |  K64A4 KHMT&TT  |  7.4  
LOLITA       |  K64A2 ToanTin  |  7.4  
ARRON        |  K67A3 KHMT&TT  |  2.3  
LOLITA       |  K66A2 ToanTin  |  7.3  
HERTA        |  K65A2 ToanTin  |  2.1  
RACHAL       |  K64A1 ToanHoc  |  1.8  
MOIRA        |  K63A1 ToanHoc  |  5.2  
IAN          |   K64A5 KHDL    |  6.6  
KAYLENE      |  K67A1 ToanHoc  |  3.0  
CIRA         |   K64A5 KHDL    |  1.2  
GENA         |  K66A4 KHMT&TT  |  5.9  
BARABARA     |  K65A4 KHMT&TT  |  1.9  
ADALBERTO    |  K64A2 ToanTin  |  9.4  
VENITA       |  K63A2 ToanTin  |  0.4  
BUD          |  K64A4 KHMT&TT  |  8.6  
PHYLICIA     |  K67A1 ToanHoc  |  0.6  
HILDA        |  K66A4 KHMT&TT  |  7.4  
GRANVILLE    |   K64A5 KHDL    |  2.2  
PENNEY       |  K63A4 KHMT&TT  |  3.1  
GIGI         |   K67A5 KHDL    |  4.7  
WENDIE       |   K65A5 KHDL    |  7.4  
SPRING       |  K67A1 ToanHoc  |  0.0  
DEDRA        |  K63A3 KHMT&TT  |  6.4  
CLARITA      |  K64A2 ToanTin  |  5.4  
SKYE         |  K65A1 ToanHoc  |  3.1  
MILLY        |  K63A2 ToanTin  |  5.0  
MEAGAN       |  K66A4 KHMT&TT  |  0.7  
EDWARDO      |  K65A2 ToanTin  |  1.1  
ETHEL        |  K65A4 KHMT&TT  |  7.7  
LISA         |  K63A2 ToanTin  |  6.9  
EZEQUIEL     |  K64A4 KHMT&TT  |  6.6  
SHANDA       |  K63A2 ToanTin  |  3.2  
MARQUIS      |  K67A3 KHMT&TT  |  9.7  
ADELAIDA     |   K63A5 KHDL    |  9.2  
JANI         |  K67A3 KHMT&TT  |  0.2  
LORRINE      |  K64A3 KHMT&TT  |  2.0  
TAMELA       |  K65A2 ToanTin  |  9.3  
REGINA       |   K66A5 KHDL    |  8.6  
PANDORA      |  K66A3 KHMT&TT  |  0.2  
SKYE         |  K63A2 ToanTin  |  1.3  
ELIANA       |  K67A4 KHMT&TT  |  8.4  
DELENA       |  K64A2 ToanTin  |  3.5  
ELZA         |  K67A4 KHMT&TT  |  6.4  
LAURALEE     |  K65A1 ToanHoc  |  4.0  
ROLLAND      |   K63A5 KHDL    |  5.2  
ILEANA       |  K64A1 ToanHoc  |  7.4  
MANUAL       |  K64A1 ToanHoc  |  7.6  
ALEJANDRINA  |  K67A3 KHMT&TT  |  1.0  
NARCISA      |  K65A1 ToanHoc  |  1.5  
LUCIANO      |  K63A2 ToanTin  |  4.7  
CARLINE      |  K63A4 KHMT&TT  |  7.9  
JENEE        |  K64A3 KHMT&TT  |  5.9  
NATALYA      |  K65A2 ToanTin  |  5.1  
MODESTA      |  K65A2 ToanTin  |  7.0  
TRINH        |   K66A5 KHDL    |  5.2  
CHIN         |  K64A2 ToanTin  |  7.7  
MARIELA      |  K65A4 KHMT&TT  |  4.8  
RAQUEL       |  K64A4 KHMT&TT  |  0.6  
RUBIE        |  K63A1 ToanHoc  |  8.7  
GIUSEPPE     |  K64A4 KHMT&TT  |  1.5  
XAVIER       |  K66A1 ToanHoc  |  1.1  
JAKE         |  K63A3 KHMT&TT  |  1.6  
LYNELLE      |  K65A1 ToanHoc  |  5.0  
JUNIE        |  K67A4 KHMT&TT  |  4.3  
KAITLIN      |  K66A2 ToanTin  |  5.9  
CANDY        |  K64A2 ToanTin  |  9.8  
LAKENDRA     |   K65A5 KHDL    |  6.4  
JONIE        |  K66A2 ToanTin  |  0.5  
BRITTNI      |  K63A3 KHMT&TT  |  6.7  
REBEKAH      |  K63A1 ToanHoc  |  9.1  
VIOLA        |  K64A3 KHMT&TT  |  3.6  
WALDO        |   K65A5 KHDL    |  5.5  
MONICA       |  K65A4 KHMT&TT  |  9.5  
LUNA         |  K64A2 ToanTin  |  5.4  
JACINDA      |  K63A1 ToanHoc  |  7.5  
GEORGIANNA   |  K66A1 ToanHoc  |  8.9  
LORRAINE     |   K66A5 KHDL    |  5.4  
KIM          |  K67A3 KHMT&TT  |  8.7  
FAUSTINA     |  K64A4 KHMT&TT  |  7.6  
ELINORE      |   K64A5 KHDL    |  2.0  
CAITLYN      |   K66A5 KHDL    |  5.1  
HARRIET      |  K66A1 ToanHoc  |  7.2  
VON          |  K64A3 KHMT&TT  |  7.3  
ALAYNA       |  K65A1 ToanHoc  |  4.0  
CHERYLL      |  K65A4 KHMT&TT  |  9.0  
CHUN         |  K65A4 KHMT&TT  |  8.8  
ELIJAH       |   K65A5 KHDL    |  6.0  
BIANCA       |  K66A4 KHMT&TT  |  9.9  
NINA         |  K64A4 KHMT&TT  |  0.7  
BULAH        |  K65A1 ToanHoc  |  6.3  
MILO         |  K64A4 KHMT&TT  |  6.6  
DONOVAN      |   K65A5 KHDL    |  0.9  
VERONIQUE    |  K66A2 ToanTin  |  3.8  
RACHAEL      |  K64A3 KHMT&TT  |  7.6  
SARINA       |  K63A3 KHMT&TT  |  6.9  
BEATRICE     |  K66A1 ToanHoc  |  5.1  
KETURAH      |  K64A1 ToanHoc  |  0.3  
KORTNEY      |  K63A3 KHMT&TT  |  7.0  
FLORENTINA   |  K65A1 ToanHoc  |  4.6  
NATOSHA      |  K64A2 ToanTin  |  6.4  
WAI          |   K66A5 KHDL    |  8.1  
MINNIE       |  K66A4 KHMT&TT  |  7.8  
DAVID        |  K66A4 KHMT&TT  |  7.1  
PIPER        |  K63A3 KHMT&TT  |  6.7  
THADDEUS     |  K66A2 ToanTin  |  4.5  
PATRIA       |  K63A4 KHMT&TT  |  4.2  
CARA         |  K65A1 ToanHoc  |  7.1  
FRITZ        |  K67A2 ToanTin  |  5.6  
FRANCINA     |  K64A3 KHMT&TT  |  2.2  
BEATRIS      |  K66A4 KHMT&TT  |  4.4  
LIZBETH      |  K63A4 KHMT&TT  |  5.7  
SHELLEY      |   K65A5 KHDL    |  6.1  
MORGAN       |  K64A2 ToanTin  |  1.9  
TILDA        |  K67A1 ToanHoc  |  0.3  
LAJUANA      |  K67A1 ToanHoc  |  4.6  
JUNIOR       |  K66A4 KHMT&TT  |  1.6  
FATIMA       |   K67A5 KHDL    |  1.3  
MARINE       |   K65A5 KHDL    |  5.3  
LASHANDA     |  K64A2 ToanTin  |  4.2  
ANGELIKA     |  K64A1 ToanHoc  |  7.4  
CRYSTA       |  K64A1 ToanHoc  |  5.0  
STANTON      |   K64A5 KHDL    |  0.3  
UN           |   K66A5 KHDL    |  5.0  
EURA         |   K65A5 KHDL    |  3.2  
LANORA       |  K64A2 ToanTin  |  0.6  
PAUL         |  K66A3 KHMT&TT  |  9.1  
DONOVAN      |   K65A5 KHDL    |  0.0  
BLAKE        |   K64A5 KHDL    |  1.8  
RENAE        |  K64A2 ToanTin  |  9.2  
ROBERT       |  K66A1 ToanHoc  |  6.1  
DARBY        |  K64A3 KHMT&TT  |  3.3  
DOTTY        |  K67A2 ToanTin  |  7.3  
CARMELO      |  K63A1 ToanHoc  |  2.1  
JOETTE       |   K66A5 KHDL    |  0.6  
QUINCY       |  K67A1 ToanHoc  |  5.5  
HELGA        |  K64A3 KHMT&TT  |  5.9  
VELVA        |   K67A5 KHDL    |  6.4  
SHERITA      |  K65A3 KHMT&TT  |  3.6  
QUIANA       |  K66A1 ToanHoc  |  2.0  
ROSCOE       |  K66A3 KHMT&TT  |  3.3  
DARA         |  K64A3 KHMT&TT  |  5.4  
KRYSTINA     |   K63A5 KHDL    |  3.1  
ADRIENE      |  K64A3 KHMT&TT  |  6.5  
JENIFFER     |  K64A1 ToanHoc  |  3.7  
MOLLY        |  K64A2 ToanTin  |  0.4  
VERDELL      |  K63A3 KHMT&TT  |  8.2  
CHIA         |   K64A5 KHDL    |  4.3  
SHAWNDA      |   K64A5 KHDL    |  7.2  
MAEGAN       |  K67A3 KHMT&TT  |  1.7  
EMIL         |  K66A1 ToanHoc  |  3.0  
SERINA       |   K67A5 KHDL    |  0.7  
BOBBI        |  K65A4 KHMT&TT  |  9.6  
SANDY        |   K67A5 KHDL    |  4.1  
LIZETH       |  K66A4 KHMT&TT  |  0.6  
LIZETH       |  K65A3 KHMT&TT  |  5.7  
KATLYN       |  K67A4 KHMT&TT  |  6.8  
KERRIE       |  K65A1 ToanHoc  |  0.2  
JUSTINA      |  K66A2 ToanTin  |  9.5  
LUIGI        |  K66A3 KHMT&TT  |  0.2  
SAVANNAH     |  K67A3 KHMT&TT  |  5.1  
CHAU         |  K67A2 ToanTin  |  3.9  
YUETTE       |  K66A3 KHMT&TT  |  2.3  
ASLEY        |  K66A3 KHMT&TT  |  2.6  
KARINA       |  K66A1 ToanHoc  |  4.7  
WANETA       |  K66A1 ToanHoc  |  6.3  
VALORIE      |   K67A5 KHDL    |  6.0  
ROSETTA      |  K65A4 KHMT&TT  |  2.2  
TAM          |  K66A2 ToanTin  |  2.9  
TANIKA       |  K63A1 ToanHoc  |  2.8  
SUMIKO       |  K66A3 KHMT&TT  |  4.9  
ALEJANDRO    |   K65A5 KHDL    |  1.1  
ALDA         |  K65A2 ToanTin  |  2.5  
GUSSIE       |   K65A5 KHDL    |  7.0  
NICOL        |  K64A3 KHMT&TT  |  9.4  
CIRA         |  K64A2 ToanTin  |  2.5  
JODI         |  K66A4 KHMT&TT  |  6.9  
JANINA       |  K63A1 ToanHoc  |  6.1  
ASSUNTA      |  K63A2 ToanTin  |  1.2  
TAKISHA      |  K67A2 ToanTin  |  4.6  
TODD         |  K64A1 ToanHoc  |  7.6  
GERMAN       |  K66A3 KHMT&TT  |  2.5  
JOEANN       |  K67A2 ToanTin  |  5.4  
JEANETTE     |  K67A2 ToanTin  |  2.8  
WALLACE      |  K63A1 ToanHoc  |  7.0  
DEIDRE       |  K67A4 KHMT&TT  |  1.0  
CHRISTIAN    |  K67A4 KHMT&TT  |  6.9  
LOWELL       |  K66A4 KHMT&TT  |  1.3  
ALPHONSO     |  K63A2 ToanTin  |  0.6  
ANJA         |  K67A1 ToanHoc  |  4.7  
LENITA       |  K66A3 KHMT&TT  |  4.5  
EZEQUIEL     |  K64A1 ToanHoc  |  0.9  
CATHERINE    |  K63A1 ToanHoc  |  10.0 
ANTHONY      |  K66A4 KHMT&TT  |  3.6  
WANETTA      |  K65A4 KHMT&TT  |  3.9  
NICHELLE     |  K65A1 ToanHoc  |  3.0  
TONI         |  K66A4 KHMT&TT  |  2.9  
CINDI        |  K65A1 ToanHoc  |  2.6  
CAROLINA     |  K66A3 KHMT&TT  |  4.3  
BESSIE       |   K65A5 KHDL    |  0.6  
NGAN         |  K67A3 KHMT&TT  |  8.0  
MISTIE       |   K67A5 KHDL    |  0.2  
FLO          |  K63A2 ToanTin  |  4.5  
JOLIE        |  K66A4 KHMT&TT  |  2.8  
